cusip,trade_date,open_price,close_price,volume
459200101,2011-11-03,185.130000,187.300000,4953637
931142103,2011-11-03,57.050000,57.420000,9575589
68389X105,2011-11-03,32.260000,33.110000,27467144
458140100,2011-11-03,23.790000,24.200000,58296345
803054204,2011-11-03,60.850000,61.980000,2195988
138006309,2011-11-03,45.230000,45.370000,184604
268648102,2011-11-03,24.560000,25.000000,19149507
37045V100,2011-11-03,23.820000,24.030000,19954578
87612E106,2011-11-03,51.680000,52.240000,10044942
143658300,2011-11-03,34.530000,34.380000,3997949
97651M109,2011-11-03,10.160000,10.250000,657214
988498101,2011-11-03,53.630000,54.040000,3105549
111320107,2011-11-03,34.630000,35.390000,8083789
N07059186,2011-11-03,41.110000,42.180000,2590505
038222105,2011-11-03,12.120000,12.360000,13353224
67066G104,2011-11-03,13.970000,14.650000,18734278
G5876H105,2011-11-03,13.720000,13.900000,11790669
57772K101,2011-11-03,25.890000,26.490000,1841692
G7945M107,2011-11-03,17.300000,17.290000,19080487
247361702,2011-11-03,8.410000,8.300000,13043042
595017104,2011-11-03,34.850000,35.770000,2739327
861012102,2011-11-03,7.100000,7.350000,3376158
39945C109,2011-11-03,20.300000,20.540000,216208
049513104,2011-11-03,10.300000,10.440000,8045301
037833100,2011-11-04,402.030000,400.240000,10793856
594918104,2011-11-04,26.380000,26.250000,36553269
459200101,2011-11-04,186.270000,186.380000,3237874
931142103,2011-11-04,57.080000,57.500000,7006676
68389X105,2011-11-04,32.820000,32.550000,23837878
458140100,2011-11-04,24.040100,23.740000,46476002
803054204,2011-11-04,60.860000,61.070000,2982646
138006309,2011-11-04,44.740000,44.600000,393643
268648102,2011-11-04,24.720000,24.670000,20561945
37045V100,2011-11-04,23.890000,23.610000,9454058
87612E106,2011-11-04,52.070000,52.170000,5265436
143658300,2011-11-04,33.960000,34.080000,2636258
988498101,2011-11-04,54.030000,53.980000,3955510
97651M109,2011-11-04,10.120000,10.000000,602246
111320107,2011-11-04,35.000000,36.010000,6130004
N07059186,2011-11-04,41.770000,42.360000,1498941
038222105,2011-11-04,12.310000,12.420000,9429687
67066G104,2011-11-04,14.520000,14.820000,16380312
G5876H105,2011-11-04,13.760000,14.240000,11726839
57772K101,2011-11-04,26.330000,26.870000,1780983
G7945M107,2011-11-04,17.160100,18.340000,19884357
247361702,2011-11-04,8.280000,8.350000,9420632
595017104,2011-11-04,37.090000,37.020000,3933481
861012102,2011-11-04,7.180000,7.240000,1262112
39945C109,2011-11-04,20.240000,20.300000,133952
049513104,2011-11-04,10.280000,10.550000,10569251
037833100,2011-11-07,399.910000,399.730000,9652257
594918104,2011-11-07,26.210000,26.800000,42586043
459200101,2011-11-07,186.220000,187.320000,3531095
931142103,2011-11-07,57.340000,57.940000,8520513
68389X105,2011-11-07,32.390000,32.870000,23980094
458140100,2011-11-07,23.700000,24.280000,51144945
803054204,2011-11-07,60.480000,61.130000,3846512
138006309,2011-11-07,43.980000,44.100000,379700
268648102,2011-11-07,24.590000,24.600000,12739860
37045V100,2011-11-07,23.930000,24.010000,9804904
87612E106,2011-11-07,52.280000,52.830000,3869364
143658300,2011-11-07,34.090000,33.950000,4670534
988498101,2011-11-07,54.150000,54.630000,3518865
111320107,2011-11-07,35.900000,35.830000,4930697
N07059186,2011-11-07,41.650000,41.740000,1322219
038222105,2011-11-07,12.360000,12.405000,10733002
67066G104,2011-11-07,14.710000,14.740000,15341572
G5876H105,2011-11-07,14.240000,14.390000,11140785
57772K101,2011-11-07,26.750000,26.500000,2719346
G7945M107,2011-11-07,18.090000,18.350000,12098662
247361702,2011-11-07,8.370000,8.310000,7735813
595017104,2011-11-07,36.630000,36.560000,3648351
861012102,2011-11-07,7.370000,7.370000,1922224
39945C109,2011-11-07,20.210000,20.420000,174514
049513104,2011-11-07,10.530000,10.440000,7038034
037833100,2011-11-08,402.210000,406.230000,14301406
594918104,2011-11-08,27.010000,27.160000,47825636
459200101,2011-11-08,187.480000,187.250000,4331568
931142103,2011-11-08,58.020000,59.320000,20107097
68389X105,2011-11-08,33.130000,33.610000,30171408
458140100,2011-11-08,24.480000,24.750000,55969275
803054204,2011-11-08,61.720000,62.040000,1904785
138006309,2011-11-08,44.220000,44.430000,256780
268648102,2011-11-08,24.720000,24.970000,19659361
37045V100,2011-11-08,24.200000,25.040000,19891750
87612E106,2011-11-08,53.000000,53.050000,5202964
143658300,2011-11-08,34.510000,34.400000,3873652
988498101,2011-11-08,54.850000,55.630000,4002578
97651M109,2011-11-08,10.180000,10.210000,365662
111320107,2011-11-08,35.950000,35.840000,5617859
N07059186,2011-11-08,43.170000,42.980000,2858064
038222105,2011-11-08,12.500000,12.640000,11854329
67066G104,2011-11-08,14.930000,15.080000,13746594
G5876H105,2011-11-08,14.549900,14.620000,14345928
57772K101,2011-11-08,26.680000,27.080000,2284398
G7945M107,2011-11-08,18.180000,17.880000,14527551
595017104,2011-11-08,36.740000,36.920000,2067433
247361702,2011-11-08,8.290000,8.200000,14865909
861012102,2011-11-08,7.490000,7.520000,1706315
39945C109,2011-11-08,20.370000,20.350000,311642
049513104,2011-11-08,10.490000,10.170000,9772586
037833100,2011-11-09,396.970000,395.280000,19952990
594918104,2011-11-09,26.590000,26.200000,62950825
459200101,2011-11-09,184.200000,182.240000,5495014
931142103,2011-11-09,58.530000,58.050000,13947664
68389X105,2011-11-09,32.839900,31.590000,36933068
458140100,2011-11-09,24.240000,23.840000,56872144
803054204,2011-11-09,59.580000,58.480000,2498054
138006309,2011-11-09,43.770000,43.290000,278714
268648102,2011-11-09,24.460000,24.080000,18922912
37045V100,2011-11-09,23.070000,22.310000,32918212
87612E106,2011-11-09,52.090000,51.690000,5876850
143658300,2011-11-09,33.280000,32.530000,6265260
988498101,2011-11-09,54.430000,54.810000,6320576
97651M109,2011-11-09,9.840000,9.660000,567082
111320107,2011-11-09,34.740000,34.050000,7238473
N07059186,2011-11-09,40.920000,40.100000,2512228
038222105,2011-11-09,12.400000,12.140000,16895128
67066G104,2011-11-09,14.730000,14.320000,13309636
G5876H105,2011-11-09,14.230000,14.110000,11898919
57772K101,2011-11-09,26.510000,25.890000,2229947
G7945M107,2011-11-09,17.610000,17.130000,10835968
247361702,2011-11-09,8.040000,8,9113497
595017104,2011-11-09,36.110000,35.450000,2186627
861012102,2011-11-09,7.160000,6.940000,1943803
39945C109,2011-11-09,19.710000,19.670000,219722
049513104,2011-11-09,9.890000,9.550000,10430588
037833100,2011-11-10,397.030000,385.220000,26606467
594918104,2011-11-10,26.470000,26.280000,32517281
459200101,2011-11-10,183.580000,183.350000,3881958
931142103,2011-11-10,58.330000,58.130000,9409918
68389X105,2011-11-10,31.940000,31.730000,25303831
458140100,2011-11-10,24.140000,24.060000,45508704
803054204,2011-11-10,59.610000,59.690000,1772952
138006309,2011-11-10,43.590000,43.450000,160079
268648102,2011-11-10,24.370000,24.060000,19411859
37045V100,2011-11-10,22.440000,22.700000,15867499
87612E106,2011-11-10,52.130000,51.770000,3927904
143658300,2011-11-10,33.050000,32.940000,3966437
988498101,2011-11-10,55.260000,54.740000,3298296
97651M109,2011-11-10,9.820000,9.730000,385447
111320107,2011-11-10,34.600000,34.130000,7589172
N07059186,2011-11-10,40.680000,40.550000,2584070
038222105,2011-11-10,12.260000,12.250000,11544159
G5876H105,2011-11-10,14.320000,14.480000,13610128
67066G104,2011-11-10,14.670000,14.470000,24762018
57772K101,2011-11-10,26.180000,26.070000,2975426
G7945M107,2011-11-10,17.490000,17.510000,13114004
595017104,2011-11-10,35.730000,35.760000,1482857
861012102,2011-11-10,7.240000,7.090000,1547488
247361702,2011-11-10,8.020000,7.620000,15541011
39945C109,2011-11-10,19.560000,19.760000,514467
049513104,2011-11-10,9.670000,9.550000,7422314
037833100,2011-11-11,386.610000,384.620000,23349431
594918104,2011-11-11,26.579900,26.910000,37903971
459200101,2011-11-11,185.270000,187.380000,3665309
931142103,2011-11-11,58.510000,59.200000,8398481
68389X105,2011-11-11,32.020000,32.370000,21664788
458140100,2011-11-11,24.310000,24.850000,43867192
803054204,2011-11-11,60.800000,60.680000,1247023
138006309,2011-11-11,44.240000,44.800000,514453
268648102,2011-11-11,24.420000,24.640000,15796137
87612E106,2011-11-11,52.000000,53.070000,4291823
37045V100,2011-11-11,22.950000,22.510000,15439418
143658300,2011-11-11,33.550000,33.470000,2699211
988498101,2011-11-11,55.210000,55.810000,2439447
97651M109,2011-11-11,9.900000,10.030000,711830
111320107,2011-11-11,34.609900,35.330000,5219550
N07059186,2011-11-11,40.640000,41.560000,2533369
038222105,2011-11-11,12.420000,12.730000,12229949
67066G104,2011-11-11,14.880000,14.980000,43798157
G5876H105,2011-11-11,14.590000,14.920000,11438959
57772K101,2011-11-11,26.100000,26.750000,1593657
G7945M107,2011-11-11,17.620000,17.940000,11991944
595017104,2011-11-11,36.040000,36.760000,1638215
247361702,2011-11-11,7.750000,7.950000,9485750
861012102,2011-11-11,7.270000,7.340000,975562
39945C109,2011-11-11,19.870000,19.740000,347091
049513104,2011-11-11,9.660000,10.220000,8692510
037833100,2011-11-14,383.520000,379.260000,15466501
594918104,2011-11-14,26.879900,26.760000,34199146
459200101,2011-11-14,189.170000,187.350000,6047079
931142103,2011-11-14,58.810000,58.890000,10554475
68389X105,2011-11-14,32.300000,32.300000,16781628
458140100,2011-11-14,24.780100,24.630000,49418044
803054204,2011-11-14,60.020000,59.720000,943054
138006309,2011-11-14,44.290000,44.200000,377868
268648102,2011-11-14,24.550000,24.460000,10296584
37045V100,2011-11-14,22.560000,22.990000,13433506
87612E106,2011-11-14,52.500000,52.650000,3746920
143658300,2011-11-14,33.270000,33.180000,2859227
988498101,2011-11-14,55.550000,55.290000,1911276
97651M109,2011-11-14,10.040000,10.010000,613659
111320107,2011-11-14,35.140000,34.520000,4659475
N07059186,2011-11-14,40.990000,40.170000,2598863
038222105,2011-11-14,12.680000,12.540000,10406417
G5876H105,2011-11-14,14.860000,14.840000,9279699
67066G104,2011-11-14,14.980000,14.690000,12510972
