id|trade_date|open|close|bid|ask|volume_pre|volume_post|volume
YUM:988498101|2011-11-04|54.030000|53.980000|53.980000|54.010000|24675.000000|1440.000000|3929395.000000
WIT:97651M109|2011-11-04|10.120000|10.000000|9.990000|10.000000|2000.000000|6185.000000|594061.000000
BRCM:111320107|2011-11-04|35.000000|36.010000|36.010000|36.020000|199648.000000|3450.000000|5926906.000000
ASML:N07059186|2011-11-04|41.770000|42.360000|42.360000|42.380000|10820.000000|84201.000000|1403920.000000
AMAT:038222105|2011-11-04|12.310000|12.420000|12.420000|12.430000|655313.000000|1481.000000|8772893.000000
NVDA:67066G104|2011-11-04|14.520000|14.820000|14.820000|14.830000|210322.000000|7149.000000|16162841.000000
MRVL:G5876H105|2011-11-04|13.760000|14.240000|14.240000|14.250000|171381.000000|2100.000000|11553358.000000
MXIM:57772K101|2011-11-04|26.330000|26.870000|26.860000|26.870000|36069.000000|400.000000|1744514.000000
STX:G7945M107|2011-11-04|17.160100|18.340000|18.340000|18.360000|62211.000000|8111.000000|19814035.000000
DAL:247361702|2011-11-04|8.280000|8.350000|8.340000|8.350000|79849.000000|2500.000000|9338283.000000
MCHP:595017104|2011-11-04|37.090000|37.020000|37.020000|37.030000|77047.000000|600.000000|3855834.000000
STM:861012102|2011-11-04|7.180000|7.240000|7.230000|7.240000|10868.000000|13211.000000|1238033.000000
GIB:39945C109|2011-11-04|20.240000|20.300000|20.300000|20.310000|200.000000|2450.000000|131302.000000
ATML:049513104|2011-11-04|10.280000|10.550000|10.540000|10.550000|600284.000000|100.000000|9968867.000000
AAPL:037833100|2011-11-07|399.910000|399.730000|399.730000|398.000000|190394.000000|68216.000000|9393647.000000
AAp:01381720|2011-11-07||80.500000|79.560000|83.750000|||
MSFT:594918104|2011-11-07|26.210000|26.800000|26.790000|26.800000|1112701.000000|34110.000000|41439232.000000
IBM:459200101|2011-11-07|186.220000|187.320000|187.220000|187.230000|40428.000000|1671.000000|3488996.000000
WMT:931142103|2011-11-07|57.340000|57.940000|57.910000|57.930000|30133.000000|8680.000000|8481700.000000
ORCL:68389X105|2011-11-07|32.390000|32.870000|32.880000|32.890000|536278.000000|700.000000|23443116.000000
INTC:458140100|2011-11-07|23.700000|24.280000|24.280000|24.290000|3684753.000000|59452.000000|47400740.000000
SAP:803054204|2011-11-07|60.480000|61.130000|61.150000|61.160000|15000.000000|1018141.000000|2813371.000000
CAJ:138006309|2011-11-07|43.980000|44.100000|44.070000|44.080000|1100.000000|600.000000|378000.000000
EMC:268648102|2011-11-07|24.590000|24.600000|24.610000|24.620000|68571.000000|727.000000|12670562.000000
POT:003493512|2011-11-07|47.96|48.63|48.65|48.66|8,258|4,400|4,675,828
GM:37045V100|2011-11-07|23.930000|24.010000|24.050000|24.030000|49718.000000|18302.000000|9736884.000000
TGT:87612E106|2011-11-07|52.280000|52.830000|52.800000|52.810000|47825.000000|1090.000000|3820449.000000
CCL:143658300|2011-11-07|34.090000|33.950000|33.930000|33.940000|4954.000000|7935.000000|4657645.000000
YUM:988498101|2011-11-07|54.150000|54.630000|54.610000|54.620000|24675.000000|134.000000|3494056.000000
WIT:97651M109|2011-11-07|9.940000|10.180000|10.170000|10.180000|2000.000000|6185.000000|463224.000000
BRCM:111320107|2011-11-07|35.900000|35.830000|35.820000|35.830000|109876.000000|400.000000|4820421.000000
ASML:N07059186|2011-11-07|41.650000|41.740000|41.740000|41.670000|10820.000000|12650.000000|1298749.000000
AMAT:038222105|2011-11-07|12.360000|12.405000|12.400000|12.410000|167187.000000|200.000000|10565615.000000
NVDA:67066G104|2011-11-07|14.710000|14.740000|14.730000|14.740000|94836.000000|3160.000000|15243576.000000
MRVL:G5876H105|2011-11-07|14.240000|14.390000|14.380000|14.390000|389338.000000|2100.000000|10749347.000000
MXIM:57772K101|2011-11-07|26.750000|26.500000|26.480000|26.500000|32159.000000|100.000000|2687087.000000
STX:G7945M107|2011-11-07|18.090000|18.350000|18.340000|18.350000|59936.000000|8612.000000|12030114.000000
DAL:247361702|2011-11-07|8.370000|8.310000|8.310000|8.320000|79849.000000|2500.000000|7653464.000000
MCHP:595017104|2011-11-07|36.630000|36.560000|36.550000|36.560000|1125160.000000|2160.000000|2521031.000000
STM:861012102|2011-11-07|7.370000|7.370000|7.360000|7.370000|10868.000000|9256.000000|1902100.000000
GIB:39945C109|2011-11-07|20.210000|20.420000|20.370000|20.390000|2800.000000|500.000000|171214.000000
ATML:049513104|2011-11-07|10.530000|10.440000|10.430000|10.440000|3163.000000|500.000000|7034371.000000
AAPL:037833100|2011-11-08|402.210000|406.230000|406.190000|406.230000|156702.000000|90714.000000|14053990.000000
AAp:01381720|2011-11-08||80.560000|80.550000|82.050000|||
MSFT:594918104|2011-11-08|27.010000|27.160000|27.150000|27.160000|926827.000000|149793.000000|46749016.000000
IBM:459200101|2011-11-08|187.480000|187.250000|187.140000|187.120000|30012.000000|17705.000000|4283851.000000
WMT:931142103|2011-11-08|58.020000|59.320000|59.340000|59.350000|186759.000000|165337.000000|19755001.000000
ORCL:68389X105|2011-11-08|33.130000|33.610000|33.600000|33.610000|373638.000000|24352.000000|29773418.000000
INTC:458140100|2011-11-08|24.480000|24.750000|24.740000|24.750000|1214244.000000|113956.000000|54641075.000000
SAP:803054204|2011-11-08|61.720000|62.040000|62.010000|62.020000|15000.000000|629135.000000|1260650.000000
CAJ:138006309|2011-11-08|44.220000|44.430000|44.390000|44.400000|1100.000000|600.000000|255080.000000
EMC:268648102|2011-11-08|24.720000|24.970000|24.980000|24.970000|124031.000000|7134.000000|19528196.000000
POT:003493512|2011-11-08|49.05|49.14|49.08|49.09|5,371|23,915|6,160,325
GM:37045V100|2011-11-08|24.200000|25.040000|25.050000|25.060000|578647.000000|25919.000000|19287184.000000
TGT:87612E106|2011-11-08|53.000000|53.050000|53.040000|53.040000|51541.000000|1292.000000|5150131.000000
CCL:143658300|2011-11-08|34.510000|34.400000|34.380000|34.400000|10441.000000|43770.000000|3819441.000000
YUM:988498101|2011-11-08|54.850000|55.630000|55.630000|55.640000|24675.000000|134.000000|3977769.000000
WIT:97651M109|2011-11-08|10.180000|10.210000|10.200000|10.210000|2000.000000|1605.000000|362057.000000
BRCM:111320107|2011-11-08|35.950000|35.840000|35.850000|35.860000|89036.000000|5622.000000|5523201.000000
ASML:N07059186|2011-11-08|43.170000|42.980000|42.990000|43.000000|57695.000000|155698.000000|2644671.000000
AMAT:038222105|2011-11-08|12.500000|12.640000|12.630000|12.640000|254541.000000|1650.000000|11598138.000000
NVDA:67066G104|2011-11-08|14.930000|15.080000|15.080000|15.090000|128668.000000|25956.000000|13591970.000000
MRVL:G5876H105|2011-11-08|14.549900|14.620000|14.610000|14.620000|87786.000000|6370.000000|14251772.000000
MXIM:57772K101|2011-11-08|26.680000|27.080000|27.060000|27.070000|54101.000000|100.000000|2230197.000000
STX:G7945M107|2011-11-08|18.180000|17.880000|17.870000|17.880000|22250.000000|16280.000000|14489021.000000
MCHP:595017104|2011-11-08|36.740000|36.920000|36.910000|36.920000|66307.000000|6143.000000|1994983.000000
DAL:247361702|2011-11-08|8.290000|8.200000|8.190000|8.200000|1951.000000|2500.000000|14861458.000000
STM:861012102|2011-11-08|7.490000|7.520000|7.520000|7.520000|3109.000000|1621.000000|1701585.000000
GIB:39945C109|2011-11-08|20.370000|20.350000|20.330000|20.350000|6100.000000|500.000000|305042.000000
ATML:049513104|2011-11-08|10.490000|10.170000|10.170000|10.180000|242603.000000|1981.000000|9528002.000000
AAPL:037833100|2011-11-09|396.970000|395.280000|395.260000|395.440000|390317.000000|689389.000000|18873284.000000
AAp:01381720|2011-11-09||79.060000|79.050000|80.540000|||
MSFT:594918104|2011-11-09|26.590000|26.200000|26.200000|26.210000|1721618.000000|151925.000000|61077282.000000
IBM:459200101|2011-11-09|184.200000|182.240000|182.430000|182.410000|325951.000000|13221.000000|5155842.000000
WMT:931142103|2011-11-09|58.530000|58.050000|58.060000|58.030000|243291.000000|97854.000000|13606519.000000
ORCL:68389X105|2011-11-09|32.839900|31.590000|31.590000|31.600000|1044772.000000|64551.000000|35823745.000000
INTC:458140100|2011-11-09|24.240000|23.840000|23.840000|23.850000|1443130.000000|183135.000000|55245879.000000
SAP:803054204|2011-11-09|59.580000|58.480000|58.490000|58.510000|211.000000|141753.000000|2356090.000000
CAJ:138006309|2011-11-09|43.770000|43.290000|43.260000|43.290000|1100.000000|486.000000|277128.000000
EMC:268648102|2011-11-09|24.460000|24.080000|24.060000|24.070000|242330.000000|44451.000000|18636131.000000
POT:003493512|2011-11-09|47.90|46.63|46.67|46.70|59,800|41,294|6,721,498
GM:37045V100|2011-11-09|23.070000|22.310000|22.310000|22.310000|192903.000000|1114652.000000|31610657.000000
TGT:87612E106|2011-11-09|52.090000|51.690000|51.680000|51.690000|50260.000000|2400.000000|5824190.000000
CCL:143658300|2011-11-09|33.280000|32.530000|32.530000|32.550000|35626.000000|22713.000000|6206921.000000
YUM:988498101|2011-11-09|54.430000|54.810000|54.820000|54.840000|59115.000000|800.000000|6260661.000000
WIT:97651M109|2011-11-09|9.840000|9.660000|9.670000|9.680000|2000.000000|100.000000|564982.000000
BRCM:111320107|2011-11-09|34.740000|34.050000|34.050000|34.060000|585446.000000|23140.000000|6629887.000000
ASML:N07059186|2011-11-09|40.920000|40.100000|40.070000|40.100000|57695.000000|149054.000000|2305479.000000
AMAT:038222105|2011-11-09|12.400000|12.140000|12.130000|12.140000|574564.000000|9432.000000|16311132.000000
NVDA:67066G104|2011-11-09|14.730000|14.320000|14.320000|14.330000|325320.000000|60595.000000|12923721.000000
MRVL:G5876H105|2011-11-09|14.230000|14.110000|14.110000|14.120000|188682.000000|1325.000000|11708912.000000
MXIM:57772K101|2011-11-09|26.510000|25.890000|25.890000|25.900000|31116.000000|100.000000|2198731.000000
STX:G7945M107|2011-11-09|17.610000|17.130000|17.130000|17.140000|196522.000000|17069.000000|10622377.000000
DAL:247361702|2011-11-09|8.040000|8.000000|8.000000|8.010000|28166.000000|13100.000000|9072231.000000
MCHP:595017104|2011-11-09|36.110000|35.450000|35.420000|35.430000|57257.000000|300.000000|2129070.000000
STM:861012102|2011-11-09|7.160000|6.940000|6.940000|6.950000|23165.000000|5800.000000|1914838.000000
GIB:39945C109|2011-11-09|19.710000|19.670000|19.650000|19.660000|6100.000000|500.000000|213122.000000
ATML:049513104|2011-11-09|9.890000|9.550000|9.550000|9.560000|98715.000000|1000.000000|10330873.000000
AAPL:037833100|2011-11-10|397.030000|385.220000|385.210000|385.220000|139446.000000|219976.000000|26247045.000000
AAp:01381720|2011-11-10||79.060000|79.060000|83.750000|||
MSFT:594918104|2011-11-10|26.470000|26.280000|26.270000|26.280000|296750.000000|97317.000000|32123214.000000
IBM:459200101|2011-11-10|183.580000|183.350000|183.370000|183.380000|36404.000000|7677.000000|3837877.000000
WMT:931142103|2011-11-10|58.330000|58.130000|58.110000|58.120000|48199.000000|17100.000000|9344619.000000
ORCL:68389X105|2011-11-10|31.940000|31.730000|31.730000|31.740000|518836.000000|25579.000000|24759416.000000
INTC:458140100|2011-11-10|24.140000|24.060000|24.040000|24.050000|589063.000000|103119.000000|44816522.000000
SAP:803054204|2011-11-10|59.610000|59.690000|59.720000|59.730000|125000.000000|130900.000000|1517052.000000
CAJ:138006309|2011-11-10|43.590000|43.450000|43.450000|43.460000|1100.000000|486.000000|158493.000000
EMC:268648102|2011-11-10|24.370000|24.060000|24.060000|24.080000|44175.000000|11381.000000|19356303.000000
POT:003493512|2011-11-10|47|46.21|46.23|46.24|10,700|17,896|7,588,761
GM:37045V100|2011-11-10|22.440000|22.700000|22.690000|22.690000|92396.000000|101132.000000|15673971.000000
TGT:87612E106|2011-11-10|52.130000|51.770000|51.740000|51.750000|13189.000000|5200.000000|3909515.000000
CCL:143658300|2011-11-10|33.050000|32.940000|32.940000|32.960000|19353.000000|6000.000000|3941084.000000
YUM:988498101|2011-11-10|55.260000|54.740000|54.710000|54.720000|14959.000000|1850.000000|3281487.000000
WIT:97651M109|2011-11-10|9.820000|9.730000|9.720000|9.730000|2000.000000|100.000000|383347.000000
BRCM:111320107|2011-11-10|34.600000|34.130000|34.130000|34.140000|209655.000000|7734.000000|7371783.000000
ASML:N07059186|2011-11-10|40.680000|40.550000|40.550000|40.560000|57695.000000|5845.000000|2520530.000000
AMAT:038222105|2011-11-10|12.260000|12.250000|12.240000|12.250000|227049.000000|2984.000000|11314126.000000
MRVL:G5876H105|2011-11-10|14.320000|14.480000|14.480000|14.490000|261985.000000|5200.000000|13342943.000000
NVDA:67066G104|2011-11-10|14.670000|14.470000|14.470000|14.480000|1798107.000000|35813.000000|22928098.000000
MXIM:57772K101|2011-11-10|26.180000|26.070000|26.050000|26.070000|24076.000000|299.000000|2951051.000000
STX:G7945M107|2011-11-10|17.490000|17.510000|17.500000|17.510000|8460.000000|6804.000000|13098740.000000
MCHP:595017104|2011-11-10|35.730000|35.760000|35.760000|35.770000|13290.000000|1813.000000|1467754.000000
STM:861012102|2011-11-10|7.240000|7.090000|7.080000|7.080000|23165.000000|4400.000000|1519923.000000
DAL:247361702|2011-11-10|8.020000|7.620000|7.610000|7.620000|6471.000000|8900.000000|15525640.000000
GIB:39945C109|2011-11-10|19.560000|19.760000|19.780000|19.790000|6100.000000|1800.000000|506567.000000
